
Box(-inf, inf, (111,), float64)
global_step=19, return_per_episode=-50.42195129394531
global_step=31, return_per_episode=-28.138683319091797
global_step=52, return_per_episode=-51.434200286865234
global_step=122, return_per_episode=-184.2353515625
global_step=279, return_per_episode=-442.191162109375
global_step=330, return_per_episode=-90.49348449707031
global_step=432, return_per_episode=-322.3236389160156
global_step=457, return_per_episode=-100.57560729980469
global_step=500, return_per_episode=-145.29547119140625
global_step=618, return_per_episode=-297.89849853515625
global_step=627, return_per_episode=-18.143901824951172
global_step=689, return_per_episode=-245.2238311767578
global_step=716, return_per_episode=-98.95984649658203
global_step=781, return_per_episode=-225.86109924316406
global_step=797, return_per_episode=-47.69337844848633
global_step=831, return_per_episode=-94.10664367675781
global_step=862, return_per_episode=-84.99700927734375
global_step=894, return_per_episode=-117.758056640625
global_step=991, return_per_episode=-273.3338317871094
global_step=1008, return_per_episode=-40.01484680175781
global_step=1049, return_per_episode=-95.2569580078125
global_step=1102, return_per_episode=-184.5733642578125
global_step=1208, return_per_episode=-298.73553466796875
global_step=1227, return_per_episode=-50.26885986328125
global_step=1361, return_per_episode=-423.4891662597656
global_step=1420, return_per_episode=-133.99159240722656
global_step=1444, return_per_episode=-47.32636260986328
global_step=1526, return_per_episode=-172.68704223632812
global_step=1585, return_per_episode=-156.05047607421875
global_step=1626, return_per_episode=-120.61479187011719
global_step=1731, return_per_episode=-290.2807312011719
global_step=1746, return_per_episode=-65.88256072998047
global_step=1826, return_per_episode=-178.49293518066406
global_step=1876, return_per_episode=-134.95529174804688
global_step=1946, return_per_episode=-217.02500915527344
SPS: 242
global_step=2106, return_per_episode=-463.1210021972656
global_step=2136, return_per_episode=-84.24745178222656
global_step=2192, return_per_episode=-152.1660614013672
global_step=2223, return_per_episode=-54.43728256225586
global_step=2247, return_per_episode=-80.24983978271484
global_step=2335, return_per_episode=-280.7232666015625
global_step=2356, return_per_episode=-69.89862823486328
global_step=2437, return_per_episode=-271.4798583984375
global_step=2472, return_per_episode=-115.5216064453125
global_step=2524, return_per_episode=-222.48216247558594
global_step=2559, return_per_episode=-91.98548889160156
global_step=2663, return_per_episode=-334.05889892578125
global_step=2814, return_per_episode=-313.9261779785156
global_step=2843, return_per_episode=-85.24375915527344
global_step=2894, return_per_episode=-139.0398406982422
global_step=2960, return_per_episode=-154.3667755126953
global_step=3039, return_per_episode=-223.99034118652344
global_step=3129, return_per_episode=-286.5302734375
global_step=3178, return_per_episode=-130.1029815673828
SPS: 318
global_step=4178, return_per_episode=-2983.05712890625
global_step=4197, return_per_episode=-55.372989654541016
global_step=4359, return_per_episode=-434.8572692871094
global_step=4390, return_per_episode=-95.7418441772461
global_step=4461, return_per_episode=-185.43093872070312
global_step=4485, return_per_episode=-73.89354705810547
global_step=4608, return_per_episode=-306.8917236328125
global_step=4676, return_per_episode=-200.392822265625
global_step=4711, return_per_episode=-86.51614379882812
global_step=4728, return_per_episode=-63.73581314086914
global_step=4740, return_per_episode=-40.114524841308594
global_step=4775, return_per_episode=-112.21282958984375
global_step=4792, return_per_episode=-40.833099365234375
global_step=4898, return_per_episode=-320.03680419921875
global_step=5898, return_per_episode=-2803.506103515625
SPS: 352
global_step=6898, return_per_episode=-2653.50927734375
global_step=6964, return_per_episode=-176.45181274414062
global_step=7009, return_per_episode=-116.98757934570312
global_step=7037, return_per_episode=-64.6037368774414
global_step=7060, return_per_episode=-39.43718719482422
global_step=7083, return_per_episode=-62.45449447631836
global_step=7111, return_per_episode=-48.64913558959961
global_step=7195, return_per_episode=-220.13613891601562
global_step=7266, return_per_episode=-245.29319763183594
global_step=7307, return_per_episode=-130.59494018554688
global_step=7361, return_per_episode=-209.93692016601562
global_step=7372, return_per_episode=-35.632347106933594
global_step=7418, return_per_episode=-142.7998046875
global_step=7455, return_per_episode=-79.33770751953125
global_step=7522, return_per_episode=-137.16384887695312
global_step=7537, return_per_episode=-22.90572738647461
global_step=7658, return_per_episode=-322.7860412597656
global_step=7703, return_per_episode=-136.28884887695312
global_step=7779, return_per_episode=-155.94512939453125
global_step=7834, return_per_episode=-126.63855743408203
global_step=7876, return_per_episode=-96.1051025390625
SPS: 377
global_step=8876, return_per_episode=-2459.83447265625
global_step=8933, return_per_episode=-103.90626525878906
global_step=9003, return_per_episode=-162.99063110351562
global_step=9051, return_per_episode=-114.77340698242188
global_step=9124, return_per_episode=-164.4249725341797
global_step=9188, return_per_episode=-195.36964416503906
global_step=9217, return_per_episode=-38.74517059326172
global_step=9241, return_per_episode=-60.01327133178711
global_step=9277, return_per_episode=-73.11674499511719
global_step=9294, return_per_episode=-44.91447067260742
global_step=9349, return_per_episode=-158.4235076904297
global_step=9415, return_per_episode=-158.3424530029297
SPS: 394
global_step=10415, return_per_episode=-2454.0595703125
global_step=10459, return_per_episode=-114.6517333984375
global_step=11459, return_per_episode=-2171.295654296875
global_step=11493, return_per_episode=-54.52540588378906
global_step=11640, return_per_episode=-312.6375732421875
global_step=11679, return_per_episode=-112.5567398071289
global_step=11692, return_per_episode=-25.862245559692383
global_step=11722, return_per_episode=-36.490013122558594
global_step=11768, return_per_episode=-162.56370544433594
global_step=11798, return_per_episode=-78.73006439208984
global_step=11810, return_per_episode=-29.51089096069336
global_step=11828, return_per_episode=-71.4363784790039
global_step=11840, return_per_episode=-46.73572540283203
global_step=11850, return_per_episode=-22.84436798095703
global_step=11879, return_per_episode=-69.39814758300781
global_step=11891, return_per_episode=-23.74802589416504
global_step=11993, return_per_episode=-216.45867919921875
global_step=12087, return_per_episode=-201.13815307617188
global_step=12121, return_per_episode=-107.14228057861328
global_step=12284, return_per_episode=-465.277099609375
SPS: 408
global_step=12378, return_per_episode=-221.369873046875
global_step=12391, return_per_episode=-18.948537826538086
global_step=12400, return_per_episode=-24.081518173217773
global_step=12474, return_per_episode=-176.66989135742188
global_step=12501, return_per_episode=-40.04408645629883
global_step=12574, return_per_episode=-112.85891723632812
global_step=12625, return_per_episode=-118.42169189453125
global_step=12656, return_per_episode=-83.09495544433594
global_step=13656, return_per_episode=-2223.62548828125
global_step=13684, return_per_episode=-90.5730209350586
global_step=13794, return_per_episode=-253.95025634765625
global_step=13818, return_per_episode=-28.693565368652344
global_step=13947, return_per_episode=-270.5220031738281
global_step=13970, return_per_episode=-52.281063079833984
global_step=14014, return_per_episode=-63.87898635864258
global_step=14053, return_per_episode=-61.12157440185547
global_step=14071, return_per_episode=-58.00117874145508
global_step=14100, return_per_episode=-68.5177993774414
global_step=14131, return_per_episode=-89.40463256835938
global_step=14180, return_per_episode=-97.82977294921875
global_step=14230, return_per_episode=-115.97992706298828
SPS: 399
global_step=14347, return_per_episode=-281.6970520019531
global_step=14383, return_per_episode=-95.80943298339844
global_step=14396, return_per_episode=-28.359355926513672
global_step=14423, return_per_episode=-49.401058197021484
global_step=14441, return_per_episode=-29.847185134887695
global_step=14481, return_per_episode=-104.22369384765625
global_step=14495, return_per_episode=-37.741783142089844
global_step=14523, return_per_episode=-72.54950714111328
global_step=14560, return_per_episode=-77.1459732055664
global_step=14581, return_per_episode=-90.40951538085938
global_step=15581, return_per_episode=-2234.73681640625
global_step=15622, return_per_episode=-95.59324645996094
global_step=15655, return_per_episode=-75.86911010742188
global_step=15677, return_per_episode=-57.215267181396484
global_step=15689, return_per_episode=-38.86836624145508
global_step=15852, return_per_episode=-379.6227111816406
global_step=15863, return_per_episode=-16.922826766967773
global_step=15902, return_per_episode=-68.2002944946289
