
Box(-inf, inf, (111,), float64)
global_step=19, return_per_episode=-15.570011138916016
global_step=31, return_per_episode=-10.216021537780762
global_step=186, return_per_episode=-142.1273193359375
global_step=279, return_per_episode=-131.0955810546875
global_step=299, return_per_episode=-0.8988003730773926
global_step=1299, return_per_episode=-1057.841796875
global_step=1357, return_per_episode=-68.49852752685547
global_step=1497, return_per_episode=-112.07511138916016
global_step=1512, return_per_episode=-23.450157165527344
global_step=1627, return_per_episode=-57.342796325683594
global_step=1643, return_per_episode=-19.680767059326172
global_step=1697, return_per_episode=-33.89461135864258
global_step=1745, return_per_episode=-30.126964569091797
global_step=1835, return_per_episode=-81.28138732910156
global_step=1860, return_per_episode=-12.55770492553711
global_step=1883, return_per_episode=-25.025360107421875
SPS: 259
global_step=2883, return_per_episode=-1034.7542724609375
global_step=2924, return_per_episode=-31.899690628051758
global_step=2974, return_per_episode=-62.473270416259766
global_step=2986, return_per_episode=-19.612796783447266
global_step=3083, return_per_episode=-83.79889678955078
global_step=3133, return_per_episode=-45.3403205871582
global_step=3205, return_per_episode=-20.887475967407227
global_step=3233, return_per_episode=-44.05829620361328
global_step=3250, return_per_episode=-15.78925609588623
global_step=3285, return_per_episode=-27.642288208007812
global_step=3317, return_per_episode=-11.36716079711914
global_step=3391, return_per_episode=-50.580230712890625
SPS: 264
global_step=4391, return_per_episode=-1068.1627197265625
global_step=5391, return_per_episode=-1098.6480712890625
global_step=5413, return_per_episode=-20.92805290222168
global_step=5452, return_per_episode=-35.04927444458008
global_step=5490, return_per_episode=-60.76964569091797
global_step=5537, return_per_episode=-5.173442363739014
global_step=5576, return_per_episode=-34.76333999633789
global_step=5715, return_per_episode=-138.49661254882812
global_step=5728, return_per_episode=-9.01174259185791
global_step=5798, return_per_episode=-72.84626770019531
global_step=5823, return_per_episode=-19.350305557250977
global_step=5881, return_per_episode=-99.45427703857422
global_step=5909, return_per_episode=-34.011260986328125
global_step=5996, return_per_episode=-49.038307189941406
global_step=6025, return_per_episode=-45.518089294433594
global_step=6051, return_per_episode=-35.622596740722656
global_step=6063, return_per_episode=-26.75243377685547
global_step=6111, return_per_episode=-38.67514419555664
SPS: 289
global_step=6148, return_per_episode=-8.89895248413086
