
Box(-inf, inf, (111,), float64)
global_step=6, return_per_episode=17.360872268676758
global_step=65, return_per_episode=132.8404083251953
global_step=106, return_per_episode=135.28152465820312
global_step=141, return_per_episode=125.22640228271484
global_step=205, return_per_episode=218.34365844726562
global_step=218, return_per_episode=50.159603118896484
global_step=308, return_per_episode=221.29119873046875
global_step=324, return_per_episode=59.95338439941406
global_step=425, return_per_episode=233.37451171875
global_step=514, return_per_episode=203.40219116210938
global_step=599, return_per_episode=230.92164611816406
global_step=620, return_per_episode=61.39869689941406
global_step=632, return_per_episode=36.3474235534668
global_step=803, return_per_episode=592.993896484375
global_step=853, return_per_episode=128.87274169921875
global_step=889, return_per_episode=77.53994750976562
global_step=930, return_per_episode=124.15950775146484
global_step=1025, return_per_episode=250.4398956298828
global_step=1060, return_per_episode=101.00730895996094
global_step=1072, return_per_episode=40.433956146240234
global_step=1117, return_per_episode=95.73643493652344
global_step=1168, return_per_episode=114.86073303222656
global_step=1213, return_per_episode=106.92113494873047
global_step=1241, return_per_episode=86.33251953125
global_step=1273, return_per_episode=105.473876953125
global_step=1318, return_per_episode=77.54117584228516
global_step=1334, return_per_episode=44.09359359741211
global_step=1421, return_per_episode=258.15185546875
global_step=1542, return_per_episode=460.4401550292969
global_step=1691, return_per_episode=500.2746276855469
global_step=1754, return_per_episode=221.67037963867188
global_step=1855, return_per_episode=266.577392578125
global_step=1886, return_per_episode=79.78439331054688
global_step=1893, return_per_episode=19.964065551757812
global_step=1962, return_per_episode=222.64865112304688
global_step=2005, return_per_episode=80.17668151855469
Time Taken: 179
global_step=2061, return_per_episode=113.49998474121094
global_step=2143, return_per_episode=185.86746215820312
global_step=2210, return_per_episode=199.5003662109375
global_step=2271, return_per_episode=166.21246337890625
global_step=2325, return_per_episode=133.73477172851562
global_step=2365, return_per_episode=140.80947875976562
global_step=2395, return_per_episode=61.95261764526367
global_step=2401, return_per_episode=14.960914611816406
global_step=2411, return_per_episode=28.815059661865234
global_step=2461, return_per_episode=164.4067840576172
global_step=2504, return_per_episode=157.42591857910156
global_step=2645, return_per_episode=393.8117370605469
global_step=2674, return_per_episode=81.61074829101562
global_step=2685, return_per_episode=29.225448608398438
global_step=2843, return_per_episode=377.88934326171875
global_step=2853, return_per_episode=32.029937744140625
global_step=2919, return_per_episode=180.6043243408203
global_step=2925, return_per_episode=18.16827964782715
global_step=3017, return_per_episode=309.1822814941406
global_step=3123, return_per_episode=322.9256591796875
global_step=3205, return_per_episode=219.63790893554688
global_step=3255, return_per_episode=144.8672637939453
global_step=3323, return_per_episode=241.43946838378906
global_step=3511, return_per_episode=529.91552734375
global_step=3516, return_per_episode=13.386663436889648
global_step=3545, return_per_episode=89.65618896484375
global_step=3551, return_per_episode=15.289082527160645
global_step=3668, return_per_episode=342.8612060546875
global_step=3680, return_per_episode=31.180341720581055
global_step=3728, return_per_episode=190.2488555908203
global_step=3756, return_per_episode=66.8525390625
global_step=3824, return_per_episode=219.22203063964844
global_step=3876, return_per_episode=126.322509765625
global_step=3882, return_per_episode=15.948540687561035
global_step=3947, return_per_episode=203.54913330078125
global_step=3954, return_per_episode=25.956287384033203
global_step=4030, return_per_episode=193.9278564453125
global_step=4073, return_per_episode=129.3794708251953
Time Taken: 238
global_step=4101, return_per_episode=122.71845245361328
global_step=4114, return_per_episode=42.56041717529297
global_step=4150, return_per_episode=119.69082641601562
global_step=4255, return_per_episode=346.15655517578125
global_step=4267, return_per_episode=25.20965576171875
global_step=4323, return_per_episode=201.16644287109375
global_step=4411, return_per_episode=208.3877410888672
