2022-11-22 03:33:02,052 INFO    MainThread:115319 [wandb_setup.py:_flush():68] Configure stats pid to 115319
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_setup.py:_flush():68] Loading settings from /home/vmuser/.config/wandb/settings
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_setup.py:_flush():68] Loading settings from /home/vmuser/Documents/cartpole/minitaur_ppo/wandb/settings
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'minitaur_ppo.py', 'program': 'minitaur_ppo.py'}
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_init.py:_log_setup():476] Logging user logs to /home/vmuser/Documents/cartpole/minitaur_ppo/wandb/run-20221122_033302-366k66k5/logs/debug.log
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_init.py:_log_setup():477] Logging internal logs to /home/vmuser/Documents/cartpole/minitaur_ppo/wandb/run-20221122_033302-366k66k5/logs/debug-internal.log
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_init.py:init():516] calling init triggers
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'exp_name': 'minitaur_ppo', 'gym_id': 'MinitaurBulletEnv-v0', 'learning_rate': 0.0003, 'seed': 42, 'total_timesteps': 100000, 'torch_deterministic': True, 'cuda': True, 'track': True, 'wandb_project_name': 'ppo-implementation-details', 'wandb_entity': None, 'capture_video': True, 'num_envs': 1, 'num_steps': 2048, 'anneal_lr': True, 'gae': True, 'gamma': 0.99, 'gae_lambda': 0.95, 'num_minibatches': 64, 'update_epochs': 10, 'norm_adv': True, 'clip_coef': 0.2, 'clip_vloss': True, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'target_kl': None, 'batch_size': 2048, 'minibatch_size': 32}
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_init.py:init():569] starting backend
2022-11-22 03:33:02,053 INFO    MainThread:115319 [wandb_init.py:init():573] setting up manager
2022-11-22 03:33:02,055 INFO    MainThread:115319 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-22 03:33:02,057 INFO    MainThread:115319 [wandb_init.py:init():580] backend started and connected
2022-11-22 03:33:02,064 INFO    MainThread:115319 [wandb_init.py:init():658] updated telemetry
2022-11-22 03:33:02,065 INFO    MainThread:115319 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-22 03:33:02,705 INFO    MainThread:115319 [wandb_run.py:_on_init():2000] communicating current version
2022-11-22 03:33:02,728 INFO    MainThread:115319 [wandb_run.py:_on_init():2004] got version response 
2022-11-22 03:33:02,728 INFO    MainThread:115319 [wandb_init.py:init():728] starting run threads in backend
2022-11-22 03:33:04,620 INFO    MainThread:115319 [wandb_run.py:_console_start():1980] atexit reg
2022-11-22 03:33:04,621 INFO    MainThread:115319 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-22 03:33:04,621 INFO    MainThread:115319 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-22 03:33:04,621 INFO    MainThread:115319 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-22 03:33:04,622 INFO    MainThread:115319 [wandb_init.py:init():765] run started, returning control to user process
2022-11-22 03:33:04,622 INFO    MainThread:115319 [wandb_run.py:_tensorboard_callback():1296] tensorboard callback: runs/MinitaurBulletEnv-v0__minitaur_ppo__42__1669087980, True
2022-11-22 03:45:03,854 WARNING MsgRouterThr:115319 [router.py:message_loop():77] message_loop has been closed
